Number,P1.1,P1.2,P1.3,P2.1,P2.2.1,P2.2.2,P2.2.3,P2.2.4,P1 - Total,P2 - Total,Overall,Proj. Overall,P1.1. - Comments,P1.2. - Comments,P1.3. - Comments,P2.1. - Comments,P2.2.1. - Comments,P2.2.2. - Comments,P2.2.3. - Comments,P2.2.4. - Comments
c21063108,10.00,7.50,6.20,8.12,9.00,3.80,8.50,1.50,23.70,30.92,54.62,78.03,Well done.,1.2.3 returns more outputs and also high amount of usages of loops etc. Please refer to title. This question was reqired to be solved via pandas only ;),Well Done. A copule of more peer-reviewed references would make it perfect.,2.1.1. no dropping columns. 2.1.3. non-ideal coding and missing print command. 2.1.4. non-ideal coding and missing labels.,Well done.,2.2.2. float to integer operation is a bit problematic but a good try. Well done,2.2.3. no constant added to model. ,2.2.4. returns error.
c1741219,7.84,10.65,8.00,8.94,5.42,0.25,0.50,0.25,26.49,15.36,41.85,59.79,1.1.3. uses wrong logic.,1.2. Good effort.,Well Done.,2.1.4. non-ideal coding. General: triple quoted text should be after def keyword. Good effort,"2.2.1. functions do the job but with non-ideal way. First, manipulates function arguments in the function again. Wrong approach. Poly regression function returns formulas instead of sm.OLS model objects.",2.2.2. Incomplete code.,2.2.3. no code provided or violated usage of not allowed functions.,2.2.4. no code provided or violated usage of not allowed functions.
c1823789,6.88,7.35,8.00,9.08,2.25,0.25,9.16,5.00,22.23,25.74,47.97,68.53,"1.1.2 the return is different and includes various emojis that should not be there. 1.1.3. has lowercase problem, e.g. nn should be NN.",1.2.3. has more returns than expected. But good try. 1.2.4. uses wrong logic.,Well Done.,2.1.3. and 2.1.4. no function returns defined.,"2.2.1. functions do the job but with non-ideal way. First, manipulates function arguments in the function again. Wrong approach. Takes home and away seperately, not correct. Poly regression manually defines polynomials. ",2.2.2. Fully wrong logic.,2.2.3.1. FTR calculated in the function but a good try.,Well done.
c21051566,6.44,9.45,3.80,4.92,0.45,2.85,7.20,4.00,19.69,19.42,39.11,55.87,1.1.2. return is wrong. Lots of non-ideal usage of python codes.,1.2.4. takes ages to run. I canceled it after 10minutes. Please refer to title! This question is supposed to be solved via pandas only.,Maximum word limit violated. 1000+ words. No references. A shorter version with a couple of peer-reviewed references would make it perfect.,"2.1.2 non-ideal coding. 2.1.3. no axis labels, 2.1.4 function does not plot the figure, figure created outside. Clear violation of question rules. ",2.2.1. no or incomlete code,2.2.2. this function itself does the job.,Well done.,2.2.4. ROC curves not needed to plot
c2068772,6.37,7.80,5.00,6.44,0.45,0.25,0.50,0.25,19.17,7.89,27.06,38.65,1.1.1. return object type is wrong. 1.1.3. has lowercase problem.,1.2. even though most of the returns are correct there are loop usages instead of solving directly via pandas. Refer to the name of the question ;),Good try but should have been supported with various references.,2.1.4. does not calculate the xGs for randomly selected team. Also various non-ideal usages of for loops and if statements. ,2.2.1. no or incomlete code,2.2.2. No code provided,2.2.3. no code provided or violated usage of not allowed functions.,2.2.4. no code provided or violated usage of not allowed functions.
c21120174,8.80,8.10,6.80,7.96,3.24,5.00,6.00,5.00,23.70,27.20,50.90,72.71,Good try but unnecssary usages of loops and other python code. All the marks lost due to complex coding.,Good try but unnecssary usages of loops and other python code. 1.2.4. wrong logic,Maximum word limit violated. 1000+ words. No references. A shorter version with a couple of peer-reviewed references would make it perfect.,"2.1.2., 2.1.3. and 2.1.4 non-ideal coding. 2.1.3. and 2.1.4. no axis labels.","2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. this function does the job.,2.2.3. training and test samples not randomly created. This was a part of the question. Also no constant added to the models. ,2.2.4. does the job well done
c21068048,7.84,9.90,7.20,10.04,0.45,0.25,10.00,5.00,24.94,25.74,50.68,72.40,1.1.2. and 1.1.3. non-ideal coding,Good try but unnecssary usages of loops and other python code. All the marks lost due to complex coding.,Well Done. A copule of more peer-reviewed references would make it perfect.,Well done. ,2.2.1. no or incomlete code,2.2.2. No code provided,Well done.,2.2.4. does the job well done
c21085701,8.32,10.20,5.00,10.04,9.00,5.00,10.00,4.00,23.52,38.04,61.56,87.94,Good try but unnecssary usages of loops and other python code. All the marks lost due to complex coding.,Good try but unnecssary usages of loops and other python code. All the marks lost due to complex coding.,Good try but should have been supported with various references.,Well done. ,Well done.,2.2.2. Well done.,Well done.,2.2.4. ROC curves not needed to plot
c2023961,9.28,7.20,8.00,6.22,1.80,3.00,10.00,4.00,24.48,25.02,49.50,70.71,Well done,1.2. very complicated coding and 1.2.4. uses wrong logic.,Well Done.,2.1. General: Non-ideal coding for all parts and no documentation. 2.1.1. float values created. 2.1.4. running mean calculations are incorrect. No line markers.,"2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. this function itself does the job.,Well done.,2.2.4. ROC curves not needed to plot
c21114561,7.60,11.10,5.00,9.00,9.00,3.40,7.60,4.00,23.70,33.00,56.70,81.00,Good try but unnecssary usages of loops and other python code. All the marks lost due to complex coding.,Well done.,Good try but should have been supported with various references.,2.1.1. 2.1.2. and 2.1.4 non-ideal coding. 2.1.4. no axis labels.,Well done.,2.2.2. polynomial prediction has a problem. It returns 3-0. ,2.2.3. Generally good try but various minor problems.,2.2.4. ROC curves not needed to plot
c21102236,7.60,7.80,6.76,8.60,5.54,3.80,10.00,5.00,22.16,32.94,55.10,78.71,Good try but unnecssary usages of loops and other python code. All the marks lost due to complex coding.,Good try but unnecssary usages of loops and other python code. All the marks lost due to complex coding.,Well Done. A copule of more peer-reviewed references would make it perfect.,"2.1.2., 2.1.3. and 2.1.4 non-ideal coding.",2.2.1.2. poly regression models are not correct.,2.2.2. this function itself does the job.,Well done.,Well done.
c1760837,7.80,8.25,6.76,6.76,0.45,2.85,8.50,3.00,22.81,21.56,44.37,63.39,Good try but unnecssary usages of loops and other python code. All the marks lost due to complex coding.,1.2. even though most of the returns are correct there are loop usages instead of solving directly via pandas. Refer to the name of the question ;),Well Done. A copule of more peer-reviewed references would make it perfect.,2.1. very complicated coding. Lots of unnecessary variable definitions. Makes test code running impossible. ,"2.2.1. unfortunately, the general logic is incorrect.",2.2.2. this function itself does the job.,Well done.,2.2.4. There are various minor errors in the code but good try.
c21122771,9.76,9.45,6.76,9.56,1.80,3.00,8.20,5.00,25.97,27.56,53.53,76.47,Well Done.,1.2.4. uses wrong logic.,Well Done. A copule of more peer-reviewed references would make it perfect.,Well done. ,"2.2.1. unfortunately, the general logic is incorrect.",2.2.2. this function itself does the job.,2.2.3. prediction function does not uses randomle selected training and test samples. ,Well done.
c21121945,6.64,8.40,4.60,7.66,3.06,3.30,10.00,4.00,19.64,28.02,47.66,68.09,1.1. non-ideal coding. 1.1.2. wrong logic,1.2.3. and 1.2.4. wrong logic used. ,Minimum number of words not reached! and lack of reference usage.,2.1.4. xG calculations are incorrect,2.2.1.1. takes target arguments one by one for away and home. 2.2.1.2. uses not allowed function,2.2.2. this function itself does the job.,Well done.,"2.2.4. Accuracy is in decimals, e.g. 0.89 should be 89%"
c21037264,7.80,5.55,8.00,6.04,1.80,2.40,7.00,2.50,21.35,19.74,41.09,58.70,"1.1.1. return object type is wrong. And non-ideal python coding - lots of loops, etc.",1.2.2. and 1.2.4. use wrong logic. Also non-ideal coding for others. ,Well done.,"2.1.3. and 2.1.4 plots figures outside of the functions. However, it is clear from the explanations that figures should be plotted in the functions. Clear violation of the question rules. Also 2.1.4 no randomly selection of teams, and xG calucaltions have problems","2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. this function itself does the job.,2.2.3. Generally good try but various minor problems.,2.2.4. There are various minor errors in the code. mean_squared_error() function cannot be used. ROC curves not needed. 
c21102258,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Submission,No Submission.,No Submission.,No Submission.,No Submission.,No Submission.,No Submission.,No Submission.
c21091678,7.52,9.30,5.00,5.58,1.80,0.25,7.00,3.50,21.82,18.13,39.95,57.07,"1.1. Wrong docstring usage, triple quoted text should be in ""def"" part. unnecssary usages of loops and other python code. All the marks lost due to complex coding.",1.2. even though most of the returns are correct there are loop usages instead of solving directly via pandas. Refer to the name of the question ;),Good try but should have been supported with various references.,2.1. various non-ideal usages of for looops and if statements exist. No axis labels in 2.1.3 and running mean calculation error in 2.1.4,"2.2.1. unfortunately, the general logic is incorrect. ",2.2.2. Incomplete code.,2.2.3. Generally good try but various minor problems.,2.2.4. There are various minor errors in the code but good try.
c21034767,8.40,9.30,5.96,9.08,9.00,4.20,7.00,4.00,23.66,33.28,56.94,81.34,1.1. unnecssary usages of loops and other python code. All the marks lost due to complex coding.,1.2. even though most of the returns are correct there are loop usages instead of solving directly via pandas. Refer to the name of the question ;),Good effort with 700+ words. A shorter version and a copule of more peer-reviewed references would make it perfect.,2.1.3. and 2.1.4. no function returns defined.,Well done.,2.2.2. OK.,2.2.3. Generally good try but various minor problems.,2.2.4. There are various minor errors in the code but good try.
c21094941,10.00,10.80,5.00,11.00,9.00,3.40,7.00,4.00,25.80,34.40,60.20,86.00,1.1. Well done,1.2. Well done.,Good try but should have been supported with various references.,2.1. Well done,Well done.,2.2.2. manually manipulating various variables in the function.,2.2.3. Generally good try but various minor problems.,2.2.4. ROC curves not needed to plot
c1813993,6.88,11.10,7.20,9.32,1.86,0.25,6.00,3.50,25.18,20.93,46.11,65.87,1.1.1. returned object type error. 1.1.2. some entries in the returned object does not have <title> tag. 1.1.3.non-ideal coding,1.2. Well done.,700+ words. A shorter version would make it perfect.,2.1.1. 2.1.2. and 2.1.4. non ideal coding,"2.2.1. unfortunately, the general logic is incorrect.",2.2.2. Incomplete code.,2.2.3. training and test samples not randomly created. This was a part of the question.,2.2.4. There are various minor errors in the code but good try.
c21098705,6.00,5.70,0.40,6.44,0.45,0.25,6.00,3.50,12.10,16.64,28.74,41.06,1.1. Non ideal coding. 1.1.1. returned object type error. 1.1.3. lowercase problem.,1.2. non-ideal coding. 1.2.1. and 1.2.3. use wrong logic.,no text,"2.1. very complicated coding. Lots of unnecessary variable definitions. 2.1.3. no axis labels, wrong title. 2.1.4 wrong xG calculations.",2.2.1. no or incomlete code,2.2.2. Incomplete code.,"2.2.3. there is code provided but lots of wrong definitions. First all the definitions, setting training and tes samples etc done in the function. But this is not cirrect and makes testing the code impossible.",2.2.4. There are various minor errors in the code but good try.
c21124676,7.40,6.90,0.40,4.28,1.05,0.25,6.48,3.50,14.70,15.56,30.26,43.23,1.1.2. wrong return. <title> tags are removed.,1.2.3. and 1.2.4. use wrong logic.,no text,"2.1.2. non ideal coding. 2.1.3. returns the plot but also gives error. 2.1.4. no function created, not acceptable.","2.2.1. unfortunately, the general logic is incorrect.",2.2.2. Incomplete code.,2.2.3.2. returns error.,2.2.4. There are various minor errors in the code but good try.
c21097301,8.08,9.15,5.00,6.61,1.05,0.25,10.00,5.00,22.23,22.91,45.14,64.49,1.1. returned object type error. 1.1.3. lowercase problem.,1.2.3. no code.,Good try but should have been supported with various references.,2.1.2. no time conversion applied. 2.1.4. no code provided.,"2.2.1. unfortunately, the general logic is incorrect.",2.2.2. Incomplete code.,Well done.,Well done.
c2031049,10.00,11.10,8.00,10.04,7.40,3.40,10.00,5.00,29.10,35.84,64.94,92.77,1.1. Well done,1.2. Well done.,Well done.,2.1. Well done,"2.2.1.2. poly models are ok, but when checked its predictors, there are two linear parts.",2.2.2. polynomial prediction has a problem. It returns 3-0. ,Well done.,Well done.
c2068104,7.80,9.90,5.00,5.26,1.05,0.25,10.00,4.00,22.70,20.56,43.26,61.80,1.1.3. non-ideal coding.,1.2. all implementations are incorrect.,Good try but should have been supported with various references.,2.1. triple quoted text should be after def keyword. And highly complicated coding. 2.1.1. floating number returns. 2.1.4. function returns error.,"2.2.1. unfortunately, the general logic is incorrect.",2.2.2. Incomplete code.,Well done.,2.2.4. ROC curves not needed to plot
c21098689,9.00,6.00,5.00,7.96,1.80,0.25,0.50,0.25,20.00,10.76,30.76,43.94,1.1. Good effort without docstring definitions.,1.2.2. wrong logic. 1.2.4. non-ideal coding,Good try but should have been supported with various references.,"2.1.1. no dropping columns. 2.1.4. non-ideal coding. No documentation. Writing the operation on the left with a # is not documenting the code, sorry.","2.2.1. unfortunately, the general logic is incorrect.",2.2.2. Incomplete code.,2.2.3. no code provided or violated usage of not allowed functions.,2.2.4. no code provided or violated usage of not allowed functions.
c1645685,5.16,7.35,5.00,7.32,6.44,3.00,10.00,3.00,17.51,29.76,47.27,67.53,1.1.1. non-ideal coding 1.1.2. lowercase problem. 1.1.3. wrong logic,1.2.4. no code. Also non-ideal coding throughout.,Good try but should have been supported with various references.,"2.1.2. non-ideal coding. 2.1.3. function has various problems in it. I fixed it and it worked. 2.1.4. no subplot, no axis labels, no titles. ",2.2.1.2. poly regression runs but returns wrong models. ,2.2.2. this function itself does the job. Uses FTHG for away team as well.,Well done.,"2.2.4. highly complicated coding, Acc values are intgeres rather than floats, ROC curves not needed to plot."
c21101383,9.28,11.40,7.20,9.72,9.00,3.80,8.50,5.00,27.88,36.02,63.90,91.29,1.1. all correct but 1.1.3. created with a lot of loops. ,Great effort with clean and optimal coding. 1.2.3. return some extra outputs but not serious.,Good effort with 700+ words. A shorter version would make it perfect.,"2.1. Well done, a very good try but 2.1.3 and 2.1.4 might have been written easier. ",Well done.,2.2.2. polynomial prediction has a problem. It returns 3-0. ,Well done.,Well done.
c21127463,4.12,6.00,7.20,4.12,1.80,0.25,6.00,3.50,17.32,15.67,32.99,47.13,1.1.2. output returns nans. 1.1.3. uses a wrong logic and return is not correct.,1.2.1. and 1.2.4. use wrong logic. ,Well Done. A copule of more peer-reviewed references would make it perfect.,2.1.3 and 2.1.4 are not correct. Also no documentation.,"2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. using not-allowed functions with an incorrect logic.,2.2.3. Generally good try but various minor problems.,2.2.4. There are various minor errors in the code but good try.
c21112371,7.52,10.35,8.00,9.24,9.00,5.00,8.50,4.25,25.87,35.99,61.86,88.37,1.1. unnecssary usages of loops and other python code. All the marks lost due to complex coding.,1.2. even though most of the returns are correct there are loop usages instead of solving directly via pandas. Refer to the name of the question ;),Well done.,"2.1.2. and 2.1.4 non-ideal coding. Also 2.1.4 has title problem, it does not show which team's result is plotted!",Well done.,Well done.,2.2.3. There are various minor errors in the code but good try.,2.2.4. There are various minor errors in the code but good try.
c21120305,5.56,6.60,6.76,7.18,1.80,3.00,6.00,3.50,18.92,21.48,40.40,57.71,"1.1. triple quoted text should defined after ""def"" keyword in order to define it as docstring. So wrong docstring usage. 1.1.3. no code provided.",1.2.1. returns are not correct. Others have various uncessary module imports and loop usages.,Well Done. A copule of more peer-reviewed references would make it perfect.,2.1.3. and 2.1.4 has non-ideal coding. Also 2.1.3 has axis labels missing or not set. 2.1.4. has axis label problem as well as no titles attached.,"2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. this function itself does the job.,2.2.3. Generally good try but various minor problems.,2.2.4. There are various minor errors in the code but good try.
c21121481,4.96,4.35,5.96,6.54,0.45,0.25,3.50,0.25,15.27,10.99,26.26,37.51,"1.1. triple quoted text should defined after ""def"" keyword in order to define it as docstring. So wrong docstring usage. 1.1.2. some outputs do not have <title>. 1.1.3. enriched_selftext couldmn not returned. ",1.2. Nearly all the subsections has logical problems. This mark is for the efforts.,Good effort with 700+ words. A shorter version and a copule of more peer-reviewed references would make it perfect.,2.1.1. no dropping columns. 2.1.4. fully wrong implementation,2.2.1. no code provided or incomplete set of codes.,2.2.2. no code provided,2.2.3. Generally wrong logic and violation of rules.,2.2.4. no code provided or violated usage of not allowed functions.
c21107664,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Submission,No Submission.,No Submission.,No Submission.,No Submission.,No Submission.,No Submission.,No Submission.
c21076481,10.00,6.30,5.00,10.04,1.86,0.25,6.00,3.50,21.30,21.65,42.95,61.36,Well done,"1.2.1, 1.2.2 and 1.2.3 use wrong logic.",Good try but should have been supported with various references.,"2.1.4. no axis labels, no line markers.","2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. no code provided,2.2.3. Generally good try but various minor problems.,2.2.4. There are various minor errors in the code but good try.
c21099949,5.64,1.20,6.40,6.12,1.32,0.25,6.12,0.25,13.24,14.06,27.30,39.00,1.1.1. uses not-allowed module. 1.1.3. non-ideal coding,1.2. all functions return error,Good try but should have been supported with various references.,"2.1.1. and 2.1.3. non-ideal coding. 2.1.4. not randimly selection of teams, no line markers.","2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. no code provided,2.2.3.2. no code submitted.,2.2.4. no code provided or violated usage of not allowed functions.
c2048790,6.64,6.00,3.00,10.04,1.80,1.80,6.00,5.00,15.64,24.64,40.28,57.54,1.1.3. lowercase operation not applied.,1.2.3. and 1.2.4. wrong logic used. ,Very shallow discussion and lack of peer reviewed reference usage.,Well done. ,"2.2.1. unfortunately, the general logic is incorrect.",2.2.2. this function itself does the job with various wrong usages.,2.2.3. Generally good try but various problems.,Well done.
c21065618,6.36,4.50,5.00,3.80,1.80,0.25,6.00,2.00,15.86,13.85,29.71,42.44,1.1.1. changes existing coulmn subr_faved_by but not creates new one. 1.1.3. uses wrong logic and the return is not correct. ,"1.2.1, 1.2.2 and 1.2.4 use wrong logic.",Good try but should have been supported with various references.,2.1.1 no dropping columns with non-ideal coding. 2.1.3 and 2.1.4 wrong implementation.,"2.2.1. unfortunately, the general logic is incorrect.",2.2.2 incomplete code,2.2.3. train_test_split() not allowed but a good try in general.,2.2.4. MSE and AUC calcualtions are incorrect
c1524285,7.92,7.50,3.80,6.14,1.80,1.00,0.50,0.25,19.22,9.69,28.91,41.30,A good try. 1.1.3 has lowercase problem. E.g. nn should be NN,1.2.3. and 1.2.4. wrong logic used. ,Very shallow discussion and lack of peer reviewed reference usage.,2.1.1  and 2.1.3. non-ideal coding. 2.1.4 wrong implementation.,"2.2.1. unfortunately, the general logic is incorrect.","2.2.2. unfortunately, the general logic is incorrect.",2.2.3. no code provided or violated usage of not allowed functions.,2.2.4. no code provided or violated usage of not allowed functions.
c2072707,8.80,11.10,4.00,11.00,1.80,0.25,10.00,5.00,23.90,28.05,51.95,74.21,Well done,1.2. Well done.,Minimum number of words not reached! and lack of reference usage.,2.1. Well done,"2.2.1. unfortunately, the general logic is incorrect.",2.2.2 incomplete code,Well done.,Well done.
c21091451,5.00,7.50,0.00,7.64,1.80,1.80,7.20,3.60,12.50,22.04,34.54,49.34,"1.1. All results has various problems. 1.1.1. returned object type is wrong, 1.1.2. has some outputs without <title> tag, 1.1.3 has lowercase problem",1.2.2 and 1.2.4 uses wrong logic.,No answer provided,2.1.4. not randomly selected teams. No documentation,"2.2.1. unfortunately, the general logic is incorrect.",2.2.2. this function itself does the job with various wrong usages.,2.2.3. There are various minor errors in the code but good try.,2.2.4. There are various minor errors in the code but good try.
c21120136,5.32,8.70,5.96,7.80,1.80,3.00,6.00,3.50,19.98,22.10,42.08,60.11,1.1.1. returned object type problem. 1.1.3. lowercase problem and returned output is wrong,"1.2. Good effort but answers could have been created solely via pandas instead of various uncessarry loops, etc. ",Good effort with 700+ words. A shorter version and a copule of more peer-reviewed references would make it perfect.,2.1.2. and 2.1.4 non-ideal coding. No documentation,"2.2.1. unfortunately, the general logic is incorrect.",2.2.2. this function itself does the job.,2.2.3. Generally good try but various minor problems.,2.2.4. There are various minor errors in the code but good try.
c21126107,9.00,4.95,5.00,7.00,1.80,3.00,7.68,3.00,18.95,22.48,41.43,59.19,1.1. Good effort without docstring definitions.,1.1. nearly all the questions coded with wrong logic. Marks for the efforts. ,Good try but should have been supported with various references.,2.1.3. and 2.1.4 has non-ideal coding. Also 2.1.4. has axis label problem.,"2.2.1. unfortunately, the general logic is incorrect.",2.2.2. this function itself does the job.,2.2.3. Generally good try but various minor problems.,2.2.4. There are various minor errors in the code but good try.
c21107524,7.00,7.05,8.00,0.55,0.45,0.25,0.50,0.25,22.05,2.00,24.05,34.36,1.1. various non-ideal coding,1.2.4. no code.,Well done.,2.1. no code submitted,2.2.1. no code provided or incomplete set of codes.,2.2.2. no code submitted,2.2.3. no code submitted,2.2.2. no code
c21088595,7.36,9.00,7.20,8.28,7.40,5.00,10.00,5.00,23.56,35.68,59.24,84.63,1.1. Good effort. 1.1.1 has output object type problem. 1.1.3. Returned result has mismatch ,"1.2.3. has missing returns. 1.2.4. created with many loops, only pandas needed!",Well Done. A copule of more peer-reviewed references would make it perfect.,2.1.1. drop col operation has problem thus returns None. All the function uses various unnecessary for loops and if statements. ,2.2.1.2. poly regression operation has some problems so that 'Home' model is not correct,Well done.,Well done.,Well done.
c21130109,7.52,10.05,7.20,9.72,7.40,3.80,10.00,5.00,24.77,35.92,60.69,86.70,1.1.2. some returns do not have <title> tags. ,1.2. Good effort. 1.2.4. might have been coded with solely pandas.,Good effort with 700+ words. A shorter version would make it perfect.,2.1.4. calculates xGs and then selects the team randomly. This is not correct. xGs should be calculcated only for the selected team,2.2.1.2. poly regression operation has some problems so that 'Home' model is not correct,2.2.2. this function itself does the job.,Well done.,Well done.
c21035650,7.76,7.05,6.52,9.08,1.80,1.00,6.00,3.00,21.33,20.88,42.21,60.30,1.1.2. all returns aer without <title> tags.,1.2.1. return wrong fav values. 1.2.4. use wrong logic thus the returns are wrong.,Well Done. A copule of more peer-reviewed references would make it perfect.,"2.1.4. the solution is not ideal. No randomly selection of teams, and the function cannot be run consequtively due to propping some columns.","2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.","2.2.2. unfortunately, the general logic is incorrect.",2.2.3. Generally good try but various problems.,"2.2.4. There are various minor errors in the code. Not allowed function used for MSE calculation. Also ROC curves plotted, not asked to do so."
c21019352,8.36,8.25,6.52,9.28,5.16,4.20,10.00,2.75,23.13,31.39,54.52,77.89,1.1. Good effort. 1.1.3. Returned result for enriched_selftext not correct,"1.2.4. has wrong logic, and others include various loops an non-ideal coding. Please refer to title that this question was expected to be solved via pandas solely. ",Well Done. A copule of more peer-reviewed references would make it perfect.,2.1.1. dropping columns done outside of the function. 2.1.2. and 2.1.4. non-ideal coding. ,2.2.1.1. function works but with a highly complicated way. 2.2.1.2. poly regression returns wrong models. ,"2.2.2. returned goal values are float, but should be integers",Well done.,"2.2.4. In general good, but there are some problems in the metric calculations. Also function does not return the dataframe"
c21109281,5.12,3.60,6.52,8.04,1.80,3.00,5.00,0.50,15.24,18.34,33.58,47.97,"1.1.2. no code provided. Other has various uncessary loops, etc. ","All subsections created with wrong logic, thus all outputs are incorrect. ",Well Done. A copule of more peer-reviewed references would make it perfect.,"2.1. All the functions uses various unneccessary for loops and if statements. Also, 2.1.4. does not create subplots.","2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. this function itself does the job.,"2.2.3. Functions are ok, but there is random selection of training and test data. There are various other minor errors as well.",2.2.4. Test code returns error. The code should have its own test.
c1529981,3.76,7.35,7.20,8.38,1.05,0.25,0.50,0.25,18.31,10.43,28.74,41.06,"All subsections created with wrong logic, thus all outputs are incorrect. ",1.2.3 and 1.2.4. wrong logic used.,Well Done. A copule of more peer-reviewed references would make it perfect.,2.1.1. HBP returns all zeros. 2.1.4. non-ideal coding and No docstring.,"2.2.1. unfortunately, the general logic is incorrect. And no code submitted for poly regression",2.2.2. no code provided,2.2.3. no code provided or violated usage of not allowed functions.,2.2.4. no code provided or violated usage of not allowed functions.
c21104212,6.36,8.70,8.00,4.52,4.84,3.80,5.00,5.00,23.06,23.16,46.22,66.03,"1.1.1. has returned object type problem, 1.1.3. uses wrong logic so the return is incorrect.",1.2. Generally good try but some solutions includes for loops instead of directly solving via pandas (refer to the name of the question). 1.2.4. returns does not match with the correct results.,Well done.,"2.1. All the functions uses various unneccessary for loops and if statements. Also, 2.1.3. and 2.1.4. are incorrect ",2.2.1.1. function works but with a highly complicated way. 2.2.1.2. poly regression returns wrong models and uses not allowed functions,2.2.2. this function itself does the job.,"2.2.3. Functions are ok, but there is random selection of training and test data. There are various other minor errors as well.",Well done.
c21114324,9.04,10.20,6.00,9.24,6.44,3.80,6.00,3.50,25.24,28.98,54.22,77.46,1.1.1. returned object type error.,1.2. some non-ideal coding but a good try,Good try but should have been supported with various references.,2.1.2. and 2.1.4 has non-ideal coding.,2.2.1.2. poly regression models are not correct.,2.2.2. this function itself does the job.,2.2.3. Generally good try but various problems.,2.2.4. There are various minor errors in the code but good try.
c21108377,7.04,8.40,5.00,6.44,1.80,3.00,10.00,5.00,20.44,26.24,46.68,66.69,1.1. Good effort. 1.1.1 has output object type problem. 1.1.3. Returned result has mismatch ,1.2. Generally good try but some solutions includes for loops instead of directly solving via pandas (refer to the name of the question). 1.2.4. returns does not match with the correct results.,Good try but should have been supported with various references.,"2.1. All the functions uses various unneccessary for loops and if statements. Also, 2.1.4. are incorrect","2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. this function itself does the job.,Well done.,Well done.
c21081077,8.80,9.75,7.20,9.56,8.04,3.80,10.00,5.00,25.75,36.40,62.15,88.79,1.1. Generally a good try but some solutions includes for loops. These functions could have been written easliy. ,1.2. Generally good try but some solutions includes for loops instead of directly solving via pandas (refer to the name of the question).,Well Done. A copule of more peer-reviewed references would make it perfect.,2.1.2. and 2.1.4 non-ideal coding. ,2.2.1.2. returned models are formulas only. It should have been sm.OLS models,2.2.2. polynomial prediction has a problem. It returns 3-0. ,Well done.,Well done.
c21094933,7.56,7.05,4.00,9.24,3.00,2.00,10.00,5.00,18.61,29.24,47.85,68.36,1.1. Generally a good try but some solutions includes for loops. These functions could have been written easliy. ,1.2. some non-ideal coding and no code for 2.1.3.,Minimum number of words not reached! and lack of reference usage.,2.1. no documentation with a good effort.,2.2.1. returns wrong predictiors and models.,2.2.2. result returns are in floating numbers. Also various other minor problems,Well done.,Well done.
c21019303,7.56,6.90,6.00,7.16,1.05,0.25,8.00,3.44,20.46,19.90,40.36,57.66,1.1. Generally a good try but some solutions includes for loops. These functions could have been written easliy. ,1.2.3. and 1.2.4. use wrong logic.,Good try but should have been supported with various references.,2.1.2. non-ideal coding. 2.1.4. no random selection of teams. 2.1. general: no documentation.,"2.2.1. unfortunately, the general logic is incorrect. PolynomialFeatures cannot be used.",2.2.2. no code provided,2.2.3. Generally good try but various problems.,MSE calculations are wrong. 
c2104447,0.84,1.35,5.00,2.62,0.45,0.25,0.50,0.25,7.19,4.07,11.26,16.09,1.1. fully wrong logic,1.2. wrong or incomplete coding,Good try but should have been supported with various references.,2.1.2. Time column erased and created again. 2.1.3. wron implemnetation. 2.1.4. no code provided.,2.2.1. no code provided or incomplete set of codes.,2.2.2. no code provided,2.2.3. no code provided.,No code submitted
c2081161,7.56,8.70,0.40,8.60,3.00,2.00,8.00,5.00,16.66,26.60,43.26,61.80,1.1. non-ideal coding,1.2. non-ideal coding for the whole question,???,"2.1.2., 2.1.3. and 2.1.4 non-ideal coding.",2.2.1. returns wrong predictiors and models.,2.2.2. result returns are in floating numbers. Also various other minor problems,2.2.3. Wrong training and test sample partitions.,Well done.
c21123124,6.04,8.40,6.52,8.12,6.96,3.80,10.00,5.00,20.96,33.88,54.84,78.34,"1.1.1. has returned object type problem, 1.1.3. has lowercase conversion problem.",1.2.3. and 1.2.4. wrong logic used. ,Well Done. A copule of more peer-reviewed references would make it perfect.,"2.1.4. calculations are wrong, but apart from that a good try.",2.2.1.1. function works but with a highly complicated way. 2.2.1.2. poly regression returns wrong models. ,2.2.2. printing commands should be in the function,Well done.,Well done.
